Data as of 2025-03-22
Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,1 Month Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETF Database Pro,Dividend,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%)
ARKK,ARK Innovation ETF,Equity,"$5,428,470,000","10,986,480",$51.50,false,False,false,false,4.70%,-19.51%,-9.28%,1.92%,-7.58%,7.04%,-$55.3829,$72.8943,-$132.30335,"-$2,285.0199","-$4,030.52225","$11,191.1576",All Cap Equities,2014-10-31,0.75%,$0.00,2023-09-08,$0.36,0.00%,Annually,6.92%,N/A,1.64,358.16%,56.98%,45.70%,45.07%,ARK Invest LLC,36,61.74%,74.33%,99.99%,40%,20%,1099,$45.50,$58.49,$49.81,$52.37,43.6,A+,C+,A+,C,B,B,C,4.58,19.76%,16.40%,14.76,3.84%,0.88%
JPST,JPMorgan Ultra-Short Income ETF,Bond,"$31,194,400,000","6,033,971",$50.59,false,False,false,false,0.14%,0.50%,1.18%,5.53%,4.46%,3.58%,$204.532,$578.5945,"$3,151.02","$8,514.4185","$12,076.7555","$21,016.3725",Corporate Bonds,2017-05-17,0.18%,$2.54,2025-03-03,$0.18,5.03%,Monthly,0.78%,N/A,0.03,8.53%,0.57%,0.51%,0.51%,JPMorgan Chase,785,34.92%,37.35%,49.64%,40%,20%,1099,$50.39,$50.61,$50.58,$50.60,83.92,A,A+,C+,A,A,A-,N/A,7.06,89.60%,74.98%,81.4,4.24%,0.97%
DFAC,Dimensional U.S. Core Equity 2 ETF,Equity,"$31,768,300,000","2,101,192",$33.31,false,False,false,false,0.60%,-7.16%,-3.70%,5.81%,7.87%,N/A,$6.711729,$131.711125,$439.832097,"$3,147.939871","$11,002.914181","$12,585.838456",All Cap Equities,2021-06-14,0.17%,$0.36,2024-12-17,$0.10,1.07%,Quarterly,1.78%,N/A,0.96,28.86%,18.31%,15.28%,14.71%,Dimensional,"2,606",23.66%,27.79%,40.69%,40%,20%,1099,$32.17,$35.39,$33.08,$33.45,40.9,A,A-,B,A-,A,A-,N/A,6.38,28.00%,46.44%,106.68,8.46%,7.06%
MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,Bond,"$13,200,700,000","1,365,602",$100.56,false,False,true,false,0.08%,0.38%,1.04%,5.48%,4.38%,3.59%,$105.5152,$569.7664,"$1,287.2433","$2,236.4384",-$400.7164,$434.4585,Total Bond Market,2009-11-16,0.35%,$5.19,2025-03-03,$0.40,5.16%,Monthly,1.53%,N/A,0.05,0.73%,0.31%,0.35%,0.34%,Allianz Investment Management LLC,875,14.27%,17.98%,36.03%,40%,20%,1099,$100.23,$100.58,$100.55,$100.57,94.58,A,B-,A,A,A-,C+,A+,6.41,50.00%,47.57%,172.2,8.31%,1.07%
SRLN,SPDR Blackstone Senior Loan ETF,Bond,"$7,770,330,000","5,441,808",$41.15,false,False,false,false,0.17%,-0.80%,-0.12%,6.47%,5.11%,8.25%,-$179.028138,"-$1,589.165249",-$0.057369,"$2,408.902164","-$1,197.946252","$7,243.612071",High Yield Bonds,2013-04-03,0.70%,$3.50,2025-03-03,$0.26,8.51%,Monthly,0.94%,N/A,0.30,57.82%,2.53%,1.82%,1.82%,State Street,1,100.00%,100.00%,100.00%,40%,20%,1099,$40.98,$41.55,N/A,N/A,43.18,A,C,B+,A,A-,B+,B+,N/A,N/A,N/A,N/A,N/A,N/A
FPE,First Trust Preferred Securities & Income ETF,Preferred Stock,"$5,836,720,000","1,531,282",$17.77,false,False,false,false,0.62%,0.08%,1.29%,7.56%,3.57%,10.34%,-$16.84455,$1.94055,$146.53615,$415.1558,"-$1,116.965342","$1,617.235799",Preferred Stock/Convertible Bonds,2013-02-11,0.85%,$1.01,2025-02-21,$0.09,5.68%,Monthly,0.53%,N/A,0.47,57.79%,3.86%,3.92%,4.00%,First Trust,238,14.82%,20.39%,49.21%,40%,20%,1099,$17.63,$17.87,$17.75,$17.78,54.42,A,C+,N/A,A,A,B+,A,6.68,87.82%,58.92%,226.75,7.19%,1.05%
ARKG,ARK Genomic Revolution ETF,Equity,"$1,072,160,000","3,439,543",$23.32,false,False,false,false,2.51%,-18.35%,-0.96%,-19.06%,-20.37%,-2.73%,-$22.69485,-$5.71055,$55.90715,-$241.34525,-$930.130305,"$5,296.375295",Health & Biotech Equities,2014-10-31,0.75%,$0.00,2021-12-29,$0.38,0.00%,Annually,1.52%,N/A,1.50,358.67%,50.18%,50.04%,48.66%,ARK Invest LLC,34,62.06%,77.03%,100.02%,40%,20%,1099,$21.20,$25.94,$22.61,$23.68,45.18,A,C+,A+,C,A-,A-,N/A,5.09,11.42%,22.38%,32.52,0.00%,8.19%
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Commodity,"$4,849,160,000","5,373,746",$13.42,false,False,false,false,0.75%,-3.94%,3.31%,1.56%,-1.57%,17.34%,$0.0,$134.97365,$612.06245,$342.3279,"-$1,411.0259","$4,051.9071",Commodities,2014-11-07,0.59%,$0.57,2024-12-23,$0.58,4.28%,Annually,0.37%,N/A,0.52,175.06%,8.66%,11.92%,12.76%,Invesco,2,100.00%,100.00%,100.00%,40%,20%,1099,$13.14,$13.62,N/A,N/A,50.88,A+,B+,N/A,N/A,N/A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DFAT,Dimensional U.S. Targeted Value ETF,Equity,"$10,323,500,000","336,171",$52.09,false,False,false,false,0.79%,-7.87%,-6.41%,-1.64%,4.51%,N/A,$15.663182,$81.82479,$146.426766,$611.4648,"$2,166.11259","$3,041.301797",Mid Cap Value Equities,2021-06-14,0.28%,$0.73,2024-12-17,$0.21,1.39%,Quarterly,2.63%,N/A,0.94,48.57%,19.25%,17.54%,19.70%,Dimensional,"1,540",5.99%,8.35%,21.74%,40%,20%,1099,$50.08,$55.53,$51.70,$52.40,39.39,A,A-,A,B-,A,A-,N/A,5.79,37.16%,31.67%,126.78,2.88%,6.02%
LMBS,First Trust Low Duration Opportunities ETF,Bond,"$4,889,460,000","489,426",$49.21,false,False,false,false,0.26%,0.89%,1.81%,6.25%,3.71%,2.41%,$0.0,$83.25345,$156.2504,$829.76195,-$802.83175,$131.00995,Mortgage Backed Securities,2014-11-04,0.64%,$2.05,2025-02-21,$0.17,4.18%,Monthly,0.95%,0.05,0.05,6.12%,1.65%,1.92%,2.26%,First Trust,"1,015",26.19%,29.86%,47.41%,40%,20%,1099,$48.92,$49.25,$49.18,$49.28,69.13,A,B-,C,A+,B,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
